제목,저자,출판사,출판일,판매가,정가,판매지수,리뷰수,평점,판매가_num,정가_num,판매지수_num,출판월,할인율
대한민국 교육 르네상스 : 대전환시대 교육의 본질을 탐하다 OECD 교수·학습 나침반 / 교사정체성 / 비효율의 숙달 / 성찰적 실천 / 공동주도성 / IB교육 / 생성형AI / 사회정서학습(SEL),"지미정,김진관,윤신영,박미지,윤여옥저 외 10명정보 더 보기/감추기지미정김진관윤신영박미지윤여옥김희수박선정강원빈이대형서지나서동욱하나남궁정임보라김하연",앤써북,2026년 01월,"18,000원","20,000원","4,788",22,10.0,18000,20000,4788,2026-01,10.0
밑바닥부터 만들면서 배우는 LLM GPT를 내 손으로 직접 단계별로 만들어보면서 대규모 언어 모델의 기본기를 탄탄히 채우기,세바스찬 라시카저/박해선역,길벗,2025년 09월,"36,000원","40,000원","10,032",21,9.6,36000,40000,10032,2025-09,10.0
"서논술형 평가, AI로 깊이를 더하다 성취기준, 형성평가, 총괄평가, 피드백, 루브릭, 질문, 과정 중심 평가, 깊이 있는 학습, AI 비서, AI 기반 채점·피드백 플랫폼","지미정,장희영,권의선,이진원,김수경저 외 1명정보 더 보기/감추기지미정장희영권의선이진원김수경박범진",앤써북,2025년 12월,"22,950원","25,500원","4,149",7,10.0,22950,25500,4149,2025-12,10.0
처음이지만 프로처럼 쓰는 노션 Notion 데이터베이스 기초부터 자동화 시스템까지,박한용저,디지털북스,2025년 09월,"22,500원","25,000원","5,199",37,9.9,22500,25000,5199,2025-09,10.0
"수노로 시작하는 AI 작곡 10분이면 완성하는 배경음악, 대중음악, 동요 제작 가이드","강성우,한나래저",제이펍,2025년 12월,"18,000원","20,000원","2,088",1,10.0,18000,20000,2088,2025-12,10.0
혼자 공부하는 네트워크,강민철저,한빛미디어,2024년 04월,"25,200원","28,000원","12,138",46,9.8,25200,28000,12138,2024-04,10.0
AI 자율학습  커서ⅹAI로 완성하는 나만의 웹 서비스 Cursor와 Gemini API로  기획부터 개발ㆍ배포까지 배우는 실무형 바이브 코딩,성구(강성규)저,길벗,2025년 12월,"21,600원","24,000원","3,573",12,9.8,21600,24000,3573,2025-12,10.0
정지훈의 양자 컴퓨터 강의 AI 다음의 게임 체인저 양자 컴퓨터의 모든 것,정지훈저,한빛미디어,2025년 08월,"21,600원","24,000원","12,999",21,9.8,21600,24000,12999,2025-08,10.0
이론부터 실전까지 AI 에이전트 완벽 마스터 LLM·RAG 기본부터 지식 그래프·강화학습·멀티 에이전트 심화까지,"살바토레 라이엘리,가브리엘레 이우쿨라노저/에디 유,김대규,김현지역",프리렉,2025년 11월,"37,800원","42,000원","3,336",2,10.0,37800,42000,3336,2025-11,10.0
"인공지능이 다 해주는 브루 Vrew 영상 편집 유튜브, 숏폼 영상부터 버튜버, 인공지능 목소리 더빙까지 생성형 AI로 영상 콘텐츠 제작하기",지현이저/브루 개발팀감수,시프트,2024년 10월,"18,000원","20,000원","10,629",19,9.7,18000,20000,10629,2024-10,10.0
"Do it! 커서로 시작하는 AI 코딩 입문 웹 앱 제작, 데이터베이스 연동, 프롬프트 작성법, MCP 연결, 바이브 코딩, 서비스 배포, 깃허브 활용",고경희저,이지스퍼블리싱,2025년 09월,"20,700원","23,000원","4,671",17,9.9,20700,23000,4671,2025-09,10.0
프롬프트를 만드는 프롬프트 GPTs & Gems,"민진홍,국난아,김진수저",성안당,2025년 12월,"24,300원","27,000원","1,644",4,10.0,24300,27000,1644,2025-12,10.0
"그림으로 이해하는 도커와 쿠버네티스 도커와 쿠버네티스, 쉽고 재미있게 시작하자!",토쿠나가 코헤이저/서수환역,길벗,2025년 11월,"19,800원","22,000원","2,568",12,10.0,19800,22000,2568,2025-11,10.0
"팔리는 블로그 & SNS 글쓰기 with 챗GPT 콘텐츠 아이디어부터 이미지까지, 하루 30분으로 1일 1 포스팅 가능한 AI 활용법",홍순성저,한빛미디어,2025년 12월,"22,500원","25,000원","2,928",4,10.0,22500,25000,2928,2025-12,10.0
"핸즈온 머신러닝 사이킷런, 케라스, 텐서플로 2로 완벽 이해하는 머신러닝, 딥러닝 이론 & 실무",오렐리앙 제롱저/박해선역,한빛미디어,2023년 09월,"54,000원","60,000원","6,408",39,9.7,54000,60000,6408,2023-09,10.0
"요즘 AI 에이전트 개발, LLM RAG ADK MCP LangChain A2A LangGraph 60가지 예제로 배우는 인공지능 에이전트 개발, 싱글 Agent부터 멀티 Agent 시스템 설계 및 협업 방식까지",박승규저,골든래빗,2025년 08월,"28,800원","32,000원",,0,0.0,28800,32000,0,2025-08,10.0
"챗GPT 교사 마스터 플랜 미드저니, 제미나이, 노트북LM, 캔바 등 생성형 AI(인공지능) 도구 개념 기반 수업 설계",한민철저,책바세,2025년 09월,"24,300원","27,000원","5,448",23,10.0,24300,27000,5448,2025-09,10.0
"생성형 AI를 위한 프롬프트 엔지니어링 랭체인, 스테이블 디퓨전, 미드저니, 챗GPT를 다루는 가장 실용적인 방법","제임스 피닉스,마이크 테일러저/정의형,정한결역",한빛미디어,2025년 06월,"34,200원","38,000원","5,988",8,10.0,34200,38000,5988,2025-06,10.0
AI 자율학습 밑바닥부터 배우는 AI 에이전트 프레임워크 없이 5가지 워크플로 패턴으로 배우는 에이전트 설계 원리,다비드스튜디오저,길벗,2025년 12월,"21,600원","24,000원","2,394",8,9.5,21600,24000,2394,2025-12,10.0
"이게 되네? 클로드 MCP 미친 활용법 27제 엑셀, 노션, 옵시디언, 피그마, 블렌더, 스테이블 디퓨전부터 메일, 보고서, 블로그, 대시보드, 크롤링, 유튜브 썸네일 생성까지 27가지 일잘러의 AI 대통합 업무 자동화",박현규저,골든래빗,2025년 07월,"21,600원","24,000원","11,292",56,9.7,21600,24000,11292,2025-07,10.0
"요즘 바이브 코딩 v0 + 커서 입문 PRD 기획·개발·배포, 일주일 완성 인공지능 코딩, vercel, 기획, PRD, 설계, 인증, 배포, QR·바코드 생성 앱, 챗GPT, DeepL 번역 클론 앱, API, 리팩터링, 수파베이스 연동, 6/45 로또 앱, AI 챗봇, 메모 앱, 할 일 목록 앱, 이미지 갤러리 앱, 커서",김동학저,골든래빗,2026년 01월,"25,200원","28,000원","2,037",1,10.0,25200,28000,2037,2026-01,10.0
